,Text,Date,Year,hashtag,Cleaned
13,"Appreciating #MannKiBaat #ModiKeSaath
बोहत दिनों के बाद किसी नेता को (केजरीवाल की बात नही) रेडियो पे सुना,अच्छा लगा । http://t.co/upTGZNg8uP",2014-10-04,2014,"['MannKiBaat', 'ModiKeSaath']",['appreciating']
14,"""I urge people to share details of inspiring incidents. I will share them with the country."" #Modi #MannKiBaat @JaiHoNaMo #radioaddress",2014-10-03,2014,"['Modi', 'MannKiBaat', 'radioaddress']","['urge', 'people', 'share', 'detail', 'inspiring', 'incident', 'share', 'country']"
15,"""Specially-abled children are the responsibility of the whole society."" #Modi #MannKiBaat @JaiHoNaMo #radioaddress",2014-10-03,2014,"['Modi', 'MannKiBaat', 'radioaddress']","['speciallyabled', 'child', 'responsibility', 'whole', 'society']"
16,"""We have 2 understand ourselves better &amp; integrate our strengths. We are not lacking in strength."" #MannKiBaat @JaiHoNaMo #radioaddress",2014-10-03,2014,"['MannKiBaat', 'radioaddress']","['understand', 'better', 'integrate', 'strength', 'lacking', 'strength']"
17,#MannKiBaat #PM Shri Narendra Modi talks to people of India : 3rd October 2014 https://t.co/eRmJbAmNbC,2014-10-03,2014,"['MannKiBaat', 'PM']","['shri', 'talk', 'people', 'india', 'october']"
18,"Lahu nahi, doodh ki nadiyan bahen ! @narendramodi @Swamy39 @SushmaSwaraj @AmitShahOffice #CullingInMosque #MannKiBaat @BlrCityPolice @CPBlr",2014-10-03,2014,"['CullingInMosque', 'MannKiBaat']","['lahu', 'nahi', 'doodh', 'nadiyan', 'bahen']"
19,"A smart use of Radio by #Modi. He is making use of every medium to market his profile, plans and party brand. #MannKiBaat #ManKiBaat",2014-10-03,2014,"['Modi', 'MannKiBaat', 'ManKiBaat']","['smart', 'radio', 'making', 'every', 'medium', 'market', 'profile', 'plan', 'party', 'brand']"
20,What an amazing address by honorable PM on #MannKiBaat This guy knows how to bring changes and what he want. #BharatMataKiJai,2014-10-03,2014,"['MannKiBaat', 'BharatMataKiJai']","['amazing', 'address', 'honorable', 'know', 'bring', 'change', 'want']"
21,"Woh mera aaena hai aur main uss ki parrchhai hun..
Mere hi ghar mein rehta hai, mujh jaisa hi jaane kaun !!
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['mera', 'aaena', 'main', 'parrchhai', 'hunmere', 'ghar', 'mein', 'rehta', 'mujh', 'jaisa', 'jaane', 'kaun']"
22,"#MannKiBaat Kahin kone me dabi padi si, ek adhoori si 
khawish puri naa ho saki jo, ek khwaab hakeekat na bann saka jo...",2014-10-03,2014,['MannKiBaat'],"['kahin', 'kone', 'dabi', 'padi', 'adhoori', 'khawish', 'puri', 'saki', 'khwaab', 'hakeekat', 'bann', 'saka']"
23,"#MannKiBaat Kahin kone me dabi padi si, ek adhoori si khawish puri naa ho saki jo, ek khwaab hakeekat na bann saka jo...",2014-10-03,2014,['MannKiBaat'],"['kahin', 'kone', 'dabi', 'padi', 'adhoori', 'khawish', 'puri', 'saki', 'khwaab', 'hakeekat', 'bann', 'saka']"
24,"Modi Effect --&gt;&gt;
#CleanIndiaWithBeingHuman #swachhindia #MannKiBaat http://t.co/OdmeDeLfi5",2014-10-03,2014,"['CleanIndiaWithBeingHuman', 'swachhindia', 'MannKiBaat']","['effect', 'gtgt']"
25,"#MannKiBaat .. @PMOIndia @narendramodi  on @airnewsalerts #Awesome 
ppl will again stick to radio sets on Sundays @ 11 now..",2014-10-03,2014,"['MannKiBaat', 'Awesome']","['stick', 'radio', 'set', 'sunday']"
26,With Bhagwat's address we know who is Modi's boss &amp; rules nation. Waiting for DD address of remaining rulers - Ambani &amp; Adani #MannKiBaat,2014-10-03,2014,['MannKiBaat'],"['bhagwats', 'address', 'know', 'modis', 'bos', 'rule', 'nation', 'waiting', 'address', 'remaining', 'ruler', 'ambani', 'adani']"
27,"mosque, is a place for prayer. lets not make them a place for illegal trading of inncnt animals. #CullingInMosque #MannKiBaat",2014-10-03,2014,"['CullingInMosque', 'MannKiBaat']","['mosque', 'place', 'prayer', 'let', 'make', 'place', 'illegal', 'trading', 'inncnt', 'animal']"
28,"@rishibagree pls support ""RSS thunderclap "" wid FB n Twitter: https://t.co/B5lh45UbdS  tribute 2 Sangh on  #RSSVijayadashmi #MannKiBaat",2014-10-03,2014,"['RSSVijayadashmi', 'MannKiBaat']","['support', 'thunderclap', 'twitter', 'tribute', 'sangh']"
29,"2018 FIFA world cup mein Indian team khele, desh ke #MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['fifa', 'world', 'mein', 'indian', 'team', 'khele', 'desh']"
30,"RaGa smart hojaye, Congress ke #MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['raga', 'smart', 'hojaye', 'congress']"
31,"Finally after so many years, AIR came into use and that too for the right purpose #MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['finally', 'many', 'year', 'came', 'right', 'purpose']"
32,"Let's spare Ravan and burn the CDs of Ra-One this time. Afterall, it is all about killing the evil anyway.
Happy Dusshera #MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['let', 'spare', 'ravan', 'burn', 'raone', 'time', 'afterall', 'killing', 'evil', 'anywayhappy', 'dusshera']"
33,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/ppjw0EeU7S…",2014-10-03,2014,"['MannKiBaat', 'Modi']","['radio', 'back', 'ramayanamahabharata', 'slot', 'writes', 'kaveree', 'bamzai', 'read']"
34,"@narendramodi on #MannKiBaat, #RadioBharat par, right choice to reach the interiors, #BharatKaSher jaag gaya hai aur apne lakshya par hai.",2014-10-03,2014,"['MannKiBaat', 'RadioBharat', 'BharatKaSher']","['right', 'choice', 'reach', 'interior', 'jaag', 'gaya', 'apne', 'lakshya']"
35,"Try 2 destroy all d evils
Start from d surroundings 1st

#yesudas #AAPtards #HappyDussehra #MannKiBaat #vijayadashami http://t.co/tRq2IuhDjh",2014-10-03,2014,"['yesudas', 'AAPtards', 'HappyDussehra', 'MannKiBaat', 'vijayadashami']","['destroy', 'evilsstart', 'surroundings']"
36,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/fwLcJ3T0Rv.",2014-10-03,2014,"['MannKiBaat', 'Modi']","['radio', 'back', 'ramayanamahabharata', 'slot', 'writes', 'kaveree', 'bamzai', 'read']"
37,kaash usse ye #mannkibaat batayi hoti toh aaj ye tweet toh bach jata.,2014-10-03,2014,['mannkibaat'],"['kaash', 'usse', 'batayi', 'hoti', 'tweet', 'bach', 'jata']"
38,Stop cow slaughtering and slaughtering of other prohibited animals. Respect the law. #MannKiBaat @PMOIndia.,2014-10-03,2014,['MannKiBaat'],"['stop', 'slaughtering', 'slaughtering', 'prohibited', 'animal', 'respect']"
39,"hi..hi..hi..hi..नैतिकता का पाठ पढा चुतिया काटो इनका ताकि असली मुद्दो मँहगाई,भ्रष्टाचार आदि पर ध्यान न जाये! #MannKiBaat",2014-10-03,2014,['MannKiBaat'],['hihihihi']
40,@airnewsalerts #HappyDussehra listening to our PM @narendramodi  today on radio. #MannKiBaat,2014-10-03,2014,"['HappyDussehra', 'MannKiBaat']","['listening', 'today', 'radio']"
41,"""@dna: Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/XP6kOlJVh8 http://t.co/qvkCoXeugE""",2014-10-03,2014,['MannKiBaat'],"['read', 'highlight']"
42,"I thought @narendramodi will give a long speech on radio but it was really #mannkibaat Nice beginning. 
I'll buy a khadi cloth b4 diwali",2014-10-03,2014,['mannkibaat'],"['thought', 'give', 'long', 'speech', 'radio', 'really', 'nice', 'beginning', 'khadi', 'cloth', 'diwali']"
43,"So From Nw Very Difficult To Choose One
1)#SatyamevJayate
2)#MannKiBaat
Both Wl Telecast At The Same Time
EVERY SUNDAY 11 AM
OHH SHITT :O :)",2014-10-03,2014,"['SatyamevJayate', 'MannKiBaat']","['difficult', 'choose', 'telecast', 'timeevery', 'sunday', 'amohh', 'shitt']"
44,"PM Modi's 'Mann Ki Baat' Points You Must Know 

http://t.co/TvQEBAt3v8 #ManKiBaat #Modi #India4India #mediaconvey #news #MannKiBaat",2014-10-03,2014,"['ManKiBaat', 'Modi', 'India4India', 'mediaconvey', 'news', 'MannKiBaat']","['modis', 'point', 'must', 'know']"
45,https://t.co/R5lNa8o097 #MannKiBaat @narendramodi_in talks his mind.,2014-10-03,2014,['MannKiBaat'],"['talk', 'mind']"
46,"I thought PM will give a long speech on radio but it was really a #mannkibaat Excellent beginning. 
I'll buy a khadi cloth b4 diwali",2014-10-03,2014,['mannkibaat'],"['thought', 'give', 'long', 'speech', 'radio', 'really', 'excellent', 'beginning', 'khadi', 'cloth', 'diwali']"
47,"Yaar Fan Ho Gaya Aapka @narendramodi
1)#ModiInAmerica
2)#MyCleanIndia
3)#MannKiBaat
N Now
#CleanIndiaWithBeingHuman
@BeingSalmanKhan WAITING",2014-10-03,2014,"['ModiInAmerica', 'MyCleanIndia', 'MannKiBaat', 'CleanIndiaWithBeingHuman']","['yaar', 'gaya', 'aapka', 'waiting']"
48,"Mr. PM do u understand  our #mannkibaat ?
we don't want to wait till dinner time(8pm) to listen ur speech in regional sorry national lang.",2014-10-03,2014,['mannkibaat'],"['understand', 'dont', 'want', 'wait', 'till', 'dinner', 'timepm', 'listen', 'speech', 'regional', 'sorry', 'national', 'lang']"
49,If u had accepted #IceBucketChallenge than u must accept #GarbageBucketChallenge . At the end it's about our India #MyCleanIndia #MannKiBaat,2014-10-03,2014,"['IceBucketChallenge', 'GarbageBucketChallenge', 'MyCleanIndia', 'MannKiBaat']","['accepted', 'must', 'accept', 'india']"
50,"@narendramodi Dearest Sir, I hope #MannKiBaat becomes a two way conversation like the RJ's on FM do. We shall have a PM we can speak to!",2014-10-03,2014,['MannKiBaat'],"['dearest', 'hope', 'becomes', 'conversation', 'like', 'shall', 'speak']"
51,#MannKiBaat  after Baba Ramdev we have now Baba Narendra Dev..... Ppl thot he is a Karmyogi but he turned out to be a BlahBlah Yogi.,2014-10-03,2014,['MannKiBaat'],"['baba', 'ramdev', 'baba', 'thot', 'karmyogi', 'turned', 'blahblah', 'yogi']"
52,"रेडियो के जरिए मोदी जी ने रखी 'मन की बात', खादी के इस्‍तेमाल और गंदगी खत्‍म करने की अपील की|
#ModiOnRadio #MannKiBaat",2014-10-03,2014,"['ModiOnRadio', 'MannKiBaat']",[]
53,Atleast 10 calls be allowed to talk to @pmoindia @narendramodi in #MannKiBaat so that ppl from remote area can join wid PM that too tollfree,2014-10-03,2014,['MannKiBaat'],"['atleast', 'call', 'allowed', 'talk', 'remote', 'area', 'join', 'tollfree']"
54,"Guess who r most upset people on earth, our MSM vale. Just head them saying... Modi ji sabse baat karte hai, Hamse kab karenge #MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['guess', 'upset', 'people', 'earth', 'vale', 'head', 'saying', 'sabse', 'karte', 'hamse', 'karenge']"
55,"Good initiative by @PMOIndia @narendramodi in #MannKiBaat. But it should be dialogue, not monologue ! Live phone calls tollfree be allowed !",2014-10-03,2014,['MannKiBaat'],"['good', 'initiative', 'dialogue', 'monologue', 'live', 'phone', 'call', 'tollfree', 'allowed']"
56,"शायद जनाज़ा इसलिए भारी था उस गरीब का ...
अपने सारे अरमान साथ ही ले जा रहा था वो .... #MannKiBaat",2014-10-03,2014,['MannKiBaat'],[]
57,Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/HmeYLOqAH3 http://t.co/qmw9Z4DtSq,2014-10-03,2014,['MannKiBaat'],"['read', 'highlight']"
58,"Doordarshan is not RSS' mouthpiece: Congress 
Hell fcuk what about Dharna party eating my brain every 15 min on FM?
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['doordarshan', 'mouthpiece', 'congress', 'hell', 'fcuk', 'dharna', 'party', 'eating', 'brain', 'every']"
59,"#NaMoji's #mannkibaat, i liked khadi kharido garib ke ghar me diya jalao part. Kaash,bus,garibi mit jae.Taken back 2 pre-tv days",2014-10-03,2014,"['NaMoji', 'mannkibaat']","['liked', 'khadi', 'kharido', 'garib', 'ghar', 'diya', 'jalao', 'part', 'kaashbusgaribi', 'jaetaken', 'back', 'pretv', 'day']"
60,What did I just hear from congress spokeperson... people should not buy khadi...it is costly... huh? What is this argument #MannKiBaat,2014-10-03,2014,['MannKiBaat'],"['hear', 'congress', 'spokeperson', 'people', 'khadiit', 'costly', 'argument']"
61,@aliaa08 Alia! Please share your thoughts about #MannKiBaat,2014-10-03,2014,['MannKiBaat'],"['alia', 'please', 'share', 'thought']"
62,Himesh saw this coming. #MannKiBaat on #RadioOutreach = #MannKaRadio.,2014-10-03,2014,"['MannKiBaat', 'RadioOutreach', 'MannKaRadio']","['himesh', 'coming']"
63,"#MannKiBaat Sir,I really respect your actions for better india. But, can anyone tell us what America has given us as a  result of your visit",2014-10-03,2014,['MannKiBaat'],"['siri', 'really', 'respect', 'action', 'better', 'india', 'anyone', 'tell', 'america', 'given', 'result', 'visit']"
64,"Old things do recycle and come back,like old memories and the Radio #PM #MannKiBaat #PARIFoundation #NarendraModi #India4India",2014-10-03,2014,"['PM', 'MannKiBaat', 'PARIFoundation', 'NarendraModi', 'India4India']","['thing', 'recycle', 'come', 'backlike', 'memory', 'radio']"
65,"AamAdmi Ke #MannKiBaat --- Modi Ji, Itnee Shandaar Designer ""Khadi"" Kahan Se Late Ho.......Humko Ko Bhi To Pata Chale ??",2014-10-03,2014,['MannKiBaat'],"['aamadmi', 'itnee', 'shandaar', 'designer', 'khadi', 'kahan', 'late', 'hohumko', 'pata', 'chale']"
66,We need to recognise our internal strength: #Modi http://t.co/z037NwTkyB #MannKiBaat http://t.co/EhXbPjjWWT,2014-10-03,2014,"['Modi', 'MannKiBaat']","['need', 'recognise', 'internal', 'strength']"
67,We need to recognise our internal strength: #Modi http://t.co/DV9er1xXw2 #MannKiBaat http://t.co/Lv975FS49p,2014-10-03,2014,"['Modi', 'MannKiBaat']","['need', 'recognise', 'internal', 'strength']"
68,Is it #ManKiBaat or #Mannkibaat. LOL !!,2014-10-03,2014,"['ManKiBaat', 'Mannkibaat']",[]
69,Modi to become radioactive on Sunday. #MannKiBaat,2014-10-03,2014,['MannKiBaat'],"['become', 'radioactive', 'sunday']"
70,@Atheist_Club @narendramodi why find controversy where there is none..we can be +ve for once #mannkibaat,2014-10-03,2014,['mannkibaat'],"['find', 'controversy', 'nonewe']"
71,"How amusing when all the 'high-tech' news channel tuning to a radio.

#MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['amusing', 'hightech', 'news', 'channel', 'tuning', 'radio']"
72,@narendramodi #MannKiBaat a revolutionary step to connect with the populace across cross section of society. Please make it :),2014-10-03,2014,['MannKiBaat'],"['revolutionary', 'step', 'connect', 'populace', 'across', 'cross', 'section', 'society', 'please', 'make']"
73,Can #modi become India's Roosevelt? #MannKiBaat,2014-10-03,2014,"['modi', 'MannKiBaat']","['become', 'india', 'roosevelt']"
74,"debut speech of Mr. PM @narendramodi sir on air.....goose bumping.
#NaMo 
#JayHind 
#MannKiBaat",2014-10-03,2014,"['NaMo', 'JayHind', 'MannKiBaat']","['debut', 'speech', 'airgoose', 'bumping']"
75,With #MannKiBaat Modi is changing the rules of the outreach game. Radio kills the TV stars!!!,2014-10-03,2014,['MannKiBaat'],"['changing', 'rule', 'outreach', 'game', 'radio', 'kill', 'star']"
76,"#swachhindia,
#MyCleanIndia and #Mannkibaat on radio,this is the way we connect common people,tight slap on #Aaptards who beleive in dharna",2014-10-03,2014,"['swachhindia', 'MyCleanIndia', 'Mannkibaat', 'Aaptards']","['radiothis', 'connect', 'common', 'peopletight', 'slap', 'beleive', 'dharna']"
77,We took out an old (but still working) 2-in-1 n listened to #PM on #MannKiBaat. #AIR,2014-10-03,2014,"['PM', 'MannKiBaat', 'AIR']","['took', 'still', 'working', 'listened']"
78,"#MannKiBaat @PMOIndia @narendramodi  - Great initiative by you Sir, we all will try to contribute for our growth with togetherness",2014-10-03,2014,['MannKiBaat'],"['great', 'initiative', 'contribute', 'growth', 'togetherness']"
79,After @narendramodi  #MannKiBaat Sonia  Gandhi's  Man ki Pyaas  Jal Bin Machhli Nritya Bin Bijli - (…: http://t.co/LNXhzTGPdI,2014-10-03,2014,['MannKiBaat'],"['sonia', 'gandhi', 'pyaas', 'machhli', 'nritya', 'bijli']"
80,The last PM who spoke on #AIR was #IndiraGandhi. #MannKiBaat of @narendramodi made me to edify myself with some common unchecked facts.,2014-10-03,2014,"['AIR', 'IndiraGandhi', 'MannKiBaat']","['last', 'spoke', 'made', 'edify', 'common', 'unchecked', 'fact']"
81,What a beautiful inspiring story told by MY PM #MannkiBaat #PMONAIR @airnewsalerts,2014-10-03,2014,"['MannkiBaat', 'PMONAIR']","['beautiful', 'inspiring', 'story', 'told']"
82,"Thank you MR.PrimeMinister आज आकाशवाणी फिर से जीवित हो गयी.
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],"['thank', 'mrprimeminister']"
83,"#mannkibaat 
5. Khade ho aur chalne ka sankalp karo, duniya tabhi saath degi.
6. Desh ki takat 
    A. Kisano mein
    B. Garib ki jhopdi me",2014-10-03,2014,['mannkibaat'],"['khade', 'chalne', 'sankalp', 'karo', 'duniya', 'tabhi', 'saath', 'degi', 'desh', 'takat', 'kisano', 'mein', 'garib', 'jhopdi']"
84,Respect @narendramodi very nice initiative of reaching out on radio. a lot said that was never said bt shd have been said by PM #mannkibaat,2014-10-03,2014,['mannkibaat'],"['respect', 'nice', 'initiative', 'reaching', 'radio', 'said', 'never', 'said', 'said']"
85,This guy is too active... twitter fb news channel and now radio... #mannkibaat #SwachhBharat #pmindia... all the best #respect,2014-10-03,2014,"['mannkibaat', 'SwachhBharat', 'pmindia', 'respect']","['active', 'twitter', 'news', 'channel', 'radio', 'best']"
86,"#mannkibaat
3. Recites story of sher ka bacha
4. Samarthya pehchano, aatma samaan pehchano",2014-10-03,2014,['mannkibaat'],"['recites', 'story', 'sher', 'bacha', 'samarthya', 'pehchano', 'aatma', 'samaan', 'pehchano']"
87,"PM's #vijayadashami Speech was short, to the point &amp; guess came from the heart! #HappyDussehra @narendramodi #MannKiBaat",2014-10-03,2014,"['vijayadashami', 'HappyDussehra', 'MannKiBaat']","['speech', 'short', 'point', 'guess', 'came', 'heart']"
88,Truly remarkable Speech. I guess today AIR broke all records of TRP :p #mannkibaat #NaMo,2014-10-03,2014,"['mannkibaat', 'NaMo']","['truly', 'remarkable', 'speech', 'guess', 'today', 'broke', 'record']"
89,Thank you @narendramodi for choosing Radio! Great start #MannKiBaat #AllIndiaRadio #AIR,2014-10-03,2014,"['MannKiBaat', 'AllIndiaRadio', 'AIR']","['thank', 'choosing', 'radio', 'great', 'start']"
90,"With @narendramodi ji earmarking the Sunday 11AM slot for #MannKiBaat series, it will clash with @aamir_khan 's #SatyamevJayate ! #MumkinHai",2014-10-03,2014,"['MannKiBaat', 'SatyamevJayate', 'MumkinHai']","['earmarking', 'sunday', 'slot', 'series', 'clash']"
91,"मन की बात, जन-मन के साथ ! @narendramodi #NaMoOnAIR #MannKiBaat",2014-10-03,2014,"['NaMoOnAIR', 'MannKiBaat']",[]
92,"#mannkibaat
1. PM will engage on 1 or 2 sundays at 11am in month.. 
2. We all should buy atleast 1 khaadi cloth, will help weavers",2014-10-03,2014,['mannkibaat'],"['engage', 'sunday', 'month', 'atleast', 'khaadi', 'cloth', 'help', 'weaver']"
93,A good initiative ! #MannKiBaat by @narendramodi,2014-10-03,2014,['MannKiBaat'],"['good', 'initiative']"
94,"Listening #PM#mannKiBaat#radio",2014-10-03,2014,"['PM', 'mannKiBaat', 'radio']",['listening']
95,"@narendramodi @PMOIndia  No No sir , not on a sunday at 11 , we'll miss @satyamevjayate :P :P :P #AllIndiaRadio #MannkiBaat  #AIR",2014-10-03,2014,"['AllIndiaRadio', 'MannkiBaat', 'AIR']","['sunday', 'well', 'miss']"
96,Don't remember in my life time any PM connected in the manner PM @narendramodi is doing right now. #mannkibaat @drumamehta @PathanAsmakhan,2014-10-03,2014,['mannkibaat'],"['dont', 'remember', 'life', 'time', 'connected', 'manner', 'right']"
97,Narendra modi's live #radio show. Super cool. Leveraging benefit of every medium. #MannKiBaat #VividhBharti,2014-10-03,2014,"['radio', 'MannKiBaat', 'VividhBharti']","['modis', 'live', 'show', 'super', 'cool', 'leveraging', 'benefit', 'every', 'medium']"
98,Ganesh Venkaradari from Mumbai famous ho gaye #Radio #MannKiBaat,2014-10-03,2014,"['Radio', 'MannKiBaat']","['ganesh', 'venkaradari', 'mumbai', 'famous', 'gaye']"
99,My Prime Minister on Radio.. #MannKiBaat,2014-10-03,2014,['MannKiBaat'],['radio']
100,Now Listening @airnewsalerts #MannKiBaat at 106.4FM,2014-10-03,2014,['MannKiBaat'],['listening']
101,All set to listen our beloved &amp; respected PM @narendramodi  Great start to #Vijayadashmi #Mannkibaat @vgopss @vallabh86,2014-10-03,2014,"['Vijayadashmi', 'Mannkibaat']","['listen', 'beloved', 'respected', 'great', 'start']"
102,PM #NarendraModi to share his #MannKibaat on All India Radio at 11 am today http://t.co/CcSk2GiwEq,2014-10-03,2014,"['NarendraModi', 'MannKibaat']","['share', 'india', 'radio', 'today']"
103,Modivaani on aakashvaani... PM @narendramodi ki #MannKiBaat Aakashvaani ke saath on #AllIndiaRadio at 11am,2014-10-03,2014,"['MannKiBaat', 'AllIndiaRadio']","['modivaani', 'aakashvaani', 'aakashvaani', 'saath']"
104,"#NarendraModi debuts on #AIR: On #Dussehra, #MannKiBaat http://t.co/2blMtnJtv8  #BoycottHaider #MyCleanIndia #HappyDussehra",2014-10-03,2014,"['NarendraModi', 'AIR', 'Dussehra', 'MannKiBaat', 'BoycottHaider', 'MyCleanIndia', 'HappyDussehra']",['debut']
105,At least today people won't get to see saffronisation but to hear it. #MannkiBaat,2014-10-03,2014,['MannkiBaat'],"['least', 'today', 'people', 'wont', 'saffronisation', 'hear']"
106,Would #MannkiBaat help to revive reach of radio or would it mere be a political speech.,2014-10-03,2014,['MannkiBaat'],"['would', 'help', 'revive', 'reach', 'radio', 'would', 'mere', 'political', 'speech']"
107,"Sorry, don't have a radio here to hear you Mr PM. #MannkiBaat",2014-10-03,2014,['MannkiBaat'],"['sorry', 'dont', 'radio', 'hear']"
108,"The 1.25 billion population will get to hear Modi from AIR, why not the oath ceremony? #MannkiBaat",2014-10-03,2014,['MannkiBaat'],"['billion', 'population', 'hear', 'oath', 'ceremony']"
109,Live Streaming #NarendraModi’s Speech- #MannKiBaat on #AllIndiaRadio http://t.co/vfSxR4x7P7  #BoycottHaider #HappyDussehra #MyCleanIndia,2014-10-03,2014,"['NarendraModi', 'MannKiBaat', 'AllIndiaRadio', 'BoycottHaider', 'HappyDussehra', 'MyCleanIndia']","['live', 'streaming', 'speech']"
110,"#MannKiBaat
Listen to #NaMo
TODAY
11 AM
@airnewsalerts 
Please share http://t.co/iSwKo18tpD",2014-10-03,2014,"['MannKiBaat', 'NaMo']","['please', 'share']"
111,Listen to #Mannkibaat at 11am on #94.3MYFM all 17 stations. @943MYFM @narendramodi,2014-10-03,2014,"['Mannkibaat', '94']","['listen', 'myfm', 'station']"
112,#mannkibaat humare prime minister Narendra Modi ko suniye aaj 11 baje se @94.3 My Fm par.. stay tuned,2014-10-03,2014,['mannkibaat'],"['humare', 'suniye', 'baje', 'stay', 'tuned']"
113,"जनता के मन की बात भी सुनिये, प्रधानमंत्री जी !#MannKiBaat
http://t.co/ysm4OEs9so",2014-11-11,2014,['MannKiBaat'],[]
114,#MannKiBaat listened part-2 today. A little late though. But PM's promise to get #BlackMoney back is very reassuring. #NaMo @narendramodi,2014-11-10,2014,"['MannKiBaat', 'BlackMoney', 'NaMo']","['listened', 'part', 'today', 'little', 'late', 'though', 'promise', 'back', 'reassuring']"
115,"Indians take to letter writing as #Modi's radio addresses, #MannKiBaat, touches popular chord.Up to 5k letters a day. http://t.co/PnknBByTYJ",2014-11-10,2014,"['Modi', 'MannKiBaat']","['indian', 'take', 'letter', 'writing', 'radio', 'address', 'touch', 'popular', 'chordup', 'letter']"
116,"@narendramodi @NeilSomaiya @PMOIndia #MannKiBaat Mumbai has seen 2,600 rail deaths in just 9 months http://t.co/30tiRPICkF",2014-11-09,2014,['MannKiBaat'],"['mumbai', 'seen', 'rail', 'death', 'month']"
