,Text,Date,Year,hashtag,Cleaned,final_sentiment
11,"In first radio address,#MannKiBaat PM Modi says the nation belongs to people, not the govt..#NaMo http://t.co/rd1i8mPgxC",2014-10-04,2014,"['MannKiBaat', 'NaMo']",first radio address modi says nation belongs people govt,1
12,"friends ke papa ke #AccheDin aa
gaye 4 sal se pade hue radio ek hi
din me bik gaye. Wahh #MannKiBaat",2014-10-04,2014,"['AccheDin', 'MannKiBaat']",friends papa aagaye pade radio hidin gaye wahh,-1
13,"Appreciating #MannKiBaat #ModiKeSaath
बोहत दिनों के बाद किसी नेता को (केजरीवाल की बात नही) रेडियो पे सुना,अच्छा लगा । http://t.co/upTGZNg8uP",2014-10-04,2014,"['MannKiBaat', 'ModiKeSaath']",appreciating,1
14,"""I urge people to share details of inspiring incidents. I will share them with the country."" #Modi #MannKiBaat @JaiHoNaMo #radioaddress",2014-10-03,2014,"['Modi', 'MannKiBaat', 'radioaddress']",urge people share details inspiring incidents will share them with country,1
15,"""Specially-abled children are the responsibility of the whole society."" #Modi #MannKiBaat @JaiHoNaMo #radioaddress",2014-10-03,2014,"['Modi', 'MannKiBaat', 'radioaddress']",speciallyabled children responsibility whole society,1
16,"""We have 2 understand ourselves better &amp; integrate our strengths. We are not lacking in strength."" #MannKiBaat @JaiHoNaMo #radioaddress",2014-10-03,2014,"['MannKiBaat', 'radioaddress']",have understand ourselves better integrate strengths lacking strength,-1
17,#MannKiBaat #PM Shri Narendra Modi talks to people of India : 3rd October 2014 https://t.co/eRmJbAmNbC,2014-10-03,2014,"['MannKiBaat', 'PM']",shri narendra modi talks people india october,-1
18,"Lahu nahi, doodh ki nadiyan bahen ! @narendramodi @Swamy39 @SushmaSwaraj @AmitShahOffice #CullingInMosque #MannKiBaat @BlrCityPolice @CPBlr",2014-10-03,2014,"['CullingInMosque', 'MannKiBaat']",lahu nahi doodh nadiyan bahen,-1
19,"A smart use of Radio by #Modi. He is making use of every medium to market his profile, plans and party brand. #MannKiBaat #ManKiBaat",2014-10-03,2014,"['Modi', 'MannKiBaat', 'ManKiBaat']",smart radio making every medium market profile plans party brand,1
20,What an amazing address by honorable PM on #MannKiBaat This guy knows how to bring changes and what he want. #BharatMataKiJai,2014-10-03,2014,"['MannKiBaat', 'BharatMataKiJai']",what amazing address honorable this knows bring changes what want,1
21,"Woh mera aaena hai aur main uss ki parrchhai hun..
Mere hi ghar mein rehta hai, mujh jaisa hi jaane kaun !!
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],mera aaena main parrchhai hunmere ghar mein rehta mujh jaisa jaane kaun,-1
22,"#MannKiBaat Kahin kone me dabi padi si, ek adhoori si 
khawish puri naa ho saki jo, ek khwaab hakeekat na bann saka jo...",2014-10-03,2014,['MannKiBaat'],kahin kone dabi padi adhoori khawish puri saki khwaab hakeekat bann saka,1
23,"#MannKiBaat Kahin kone me dabi padi si, ek adhoori si khawish puri naa ho saki jo, ek khwaab hakeekat na bann saka jo...",2014-10-03,2014,['MannKiBaat'],kahin kone dabi padi adhoori khawish puri saki khwaab hakeekat bann saka,1
24,"Modi Effect --&gt;&gt;
#CleanIndiaWithBeingHuman #swachhindia #MannKiBaat http://t.co/OdmeDeLfi5",2014-10-03,2014,"['CleanIndiaWithBeingHuman', 'swachhindia', 'MannKiBaat']",modi effect gtgt,1
25,"#MannKiBaat .. @PMOIndia @narendramodi  on @airnewsalerts #Awesome 
ppl will again stick to radio sets on Sundays @ 11 now..",2014-10-03,2014,"['MannKiBaat', 'Awesome']",will again stick radio sets sundays,1
26,With Bhagwat's address we know who is Modi's boss &amp; rules nation. Waiting for DD address of remaining rulers - Ambani &amp; Adani #MannKiBaat,2014-10-03,2014,['MannKiBaat'],with bhagwats address know modis boss rules nation waiting address remaining rulers ambani adani,1
27,"mosque, is a place for prayer. lets not make them a place for illegal trading of inncnt animals. #CullingInMosque #MannKiBaat",2014-10-03,2014,"['CullingInMosque', 'MannKiBaat']",mosque place prayer lets make them place illegal trading inncnt animals,1
28,"@rishibagree pls support ""RSS thunderclap "" wid FB n Twitter: https://t.co/B5lh45UbdS  tribute 2 Sangh on  #RSSVijayadashmi #MannKiBaat",2014-10-03,2014,"['RSSVijayadashmi', 'MannKiBaat']",support thunderclap twitter tribute sangh,1
29,"2018 FIFA world cup mein Indian team khele, desh ke #MannKiBaat",2014-10-03,2014,['MannKiBaat'],fifa world mein indian team khele desh,1
30,"RaGa smart hojaye, Congress ke #MannKiBaat",2014-10-03,2014,['MannKiBaat'],raga smart hojaye congress,1
31,"Finally after so many years, AIR came into use and that too for the right purpose #MannKiBaat",2014-10-03,2014,['MannKiBaat'],finally after many years came into that right purpose,1
32,"Let's spare Ravan and burn the CDs of Ra-One this time. Afterall, it is all about killing the evil anyway.
Happy Dusshera #MannKiBaat",2014-10-03,2014,['MannKiBaat'],lets spare ravan burn raone this time afterall about killing evil anywayhappy dusshera,1
33,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/ppjw0EeU7S…",2014-10-03,2014,"['MannKiBaat', 'Modi']",radio back with modi ramayanamahabharata slot writes kaveree bamzai read,1
34,"@narendramodi on #MannKiBaat, #RadioBharat par, right choice to reach the interiors, #BharatKaSher jaag gaya hai aur apne lakshya par hai.",2014-10-03,2014,"['MannKiBaat', 'RadioBharat', 'BharatKaSher']",right choice reach interiors jaag gaya apne lakshya,-1
35,"Try 2 destroy all d evils
Start from d surroundings 1st

#yesudas #AAPtards #HappyDussehra #MannKiBaat #vijayadashami http://t.co/tRq2IuhDjh",2014-10-03,2014,"['yesudas', 'AAPtards', 'HappyDussehra', 'MannKiBaat', 'vijayadashami']",destroy evilsstart from surroundings,1
36,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/fwLcJ3T0Rv.",2014-10-03,2014,"['MannKiBaat', 'Modi']",radio back with modi ramayanamahabharata slot writes kaveree bamzai read,1
37,kaash usse ye #mannkibaat batayi hoti toh aaj ye tweet toh bach jata.,2014-10-03,2014,['mannkibaat'],kaash usse batayi hoti tweet bach jata,1
38,Stop cow slaughtering and slaughtering of other prohibited animals. Respect the law. #MannKiBaat @PMOIndia.,2014-10-03,2014,['MannKiBaat'],stop slaughtering slaughtering other prohibited animals respect,-1
39,"hi..hi..hi..hi..नैतिकता का पाठ पढा चुतिया काटो इनका ताकि असली मुद्दो मँहगाई,भ्रष्टाचार आदि पर ध्यान न जाये! #MannKiBaat",2014-10-03,2014,['MannKiBaat'],hihihihi,1
40,@airnewsalerts #HappyDussehra listening to our PM @narendramodi  today on radio. #MannKiBaat,2014-10-03,2014,"['HappyDussehra', 'MannKiBaat']",listening today radio,1
41,"""@dna: Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/XP6kOlJVh8 http://t.co/qvkCoXeugE""",2014-10-03,2014,['MannKiBaat'],read highlights from prime minister,1
42,"I thought @narendramodi will give a long speech on radio but it was really #mannkibaat Nice beginning. 
I'll buy a khadi cloth b4 diwali",2014-10-03,2014,['mannkibaat'],thought will give long speech radio really nice beginning khadi cloth diwali,1
43,"So From Nw Very Difficult To Choose One
1)#SatyamevJayate
2)#MannKiBaat
Both Wl Telecast At The Same Time
EVERY SUNDAY 11 AM
OHH SHITT :O :)",2014-10-03,2014,"['SatyamevJayate', 'MannKiBaat']",from very difficult choose telecast same timeevery sunday amohh shitt,-1
44,"PM Modi's 'Mann Ki Baat' Points You Must Know 

http://t.co/TvQEBAt3v8 #ManKiBaat #Modi #India4India #mediaconvey #news #MannKiBaat",2014-10-03,2014,"['ManKiBaat', 'Modi', 'India4India', 'mediaconvey', 'news', 'MannKiBaat']",modis mann baat points must know,-1
45,https://t.co/R5lNa8o097 #MannKiBaat @narendramodi_in talks his mind.,2014-10-03,2014,['MannKiBaat'],talks mind,1
46,"I thought PM will give a long speech on radio but it was really a #mannkibaat Excellent beginning. 
I'll buy a khadi cloth b4 diwali",2014-10-03,2014,['mannkibaat'],thought will give long speech radio really excellent beginning khadi cloth diwali,1
47,"Yaar Fan Ho Gaya Aapka @narendramodi
1)#ModiInAmerica
2)#MyCleanIndia
3)#MannKiBaat
N Now
#CleanIndiaWithBeingHuman
@BeingSalmanKhan WAITING",2014-10-03,2014,"['ModiInAmerica', 'MyCleanIndia', 'MannKiBaat', 'CleanIndiaWithBeingHuman']",yaar gaya aapka waiting,-1
48,"Mr. PM do u understand  our #mannkibaat ?
we don't want to wait till dinner time(8pm) to listen ur speech in regional sorry national lang.",2014-10-03,2014,['mannkibaat'],understand dont want wait till dinner timepm listen speech regional sorry national lang,-1
49,If u had accepted #IceBucketChallenge than u must accept #GarbageBucketChallenge . At the end it's about our India #MyCleanIndia #MannKiBaat,2014-10-03,2014,"['IceBucketChallenge', 'GarbageBucketChallenge', 'MyCleanIndia', 'MannKiBaat']",accepted than must accept about india,1
50,"@narendramodi Dearest Sir, I hope #MannKiBaat becomes a two way conversation like the RJ's on FM do. We shall have a PM we can speak to!",2014-10-03,2014,['MannKiBaat'],dearest hope becomes conversation like shall have speak,1
51,#MannKiBaat  after Baba Ramdev we have now Baba Narendra Dev..... Ppl thot he is a Karmyogi but he turned out to be a BlahBlah Yogi.,2014-10-03,2014,['MannKiBaat'],after baba ramdev have baba narendra thot karmyogi turned blahblah yogi,1
52,Atleast 10 calls be allowed to talk to @pmoindia @narendramodi in #MannKiBaat so that ppl from remote area can join wid PM that too tollfree,2014-10-03,2014,['MannKiBaat'],atleast calls allowed talk that from remote area join that tollfree,1
53,"Guess who r most upset people on earth, our MSM vale. Just head them saying... Modi ji sabse baat karte hai, Hamse kab karenge #MannKiBaat",2014-10-03,2014,['MannKiBaat'],guess most upset people earth vale just head them saying modi sabse baat karte hamse karenge,-1
54,"Good initiative by @PMOIndia @narendramodi in #MannKiBaat. But it should be dialogue, not monologue ! Live phone calls tollfree be allowed !",2014-10-03,2014,['MannKiBaat'],good initiative should dialogue monologue live phone calls tollfree allowed,1
55,Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/HmeYLOqAH3 http://t.co/qmw9Z4DtSq,2014-10-03,2014,['MannKiBaat'],read highlights from prime minister,1
56,"Doordarshan is not RSS' mouthpiece: Congress 
Hell fcuk what about Dharna party eating my brain every 15 min on FM?
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],doordarshan mouthpiece congress hell fcuk what about dharna party eating brain every,1
57,"#NaMoji's #mannkibaat, i liked khadi kharido garib ke ghar me diya jalao part. Kaash,bus,garibi mit jae.Taken back 2 pre-tv days",2014-10-03,2014,"['NaMoji', 'mannkibaat']",liked khadi kharido garib ghar diya jalao part kaashbusgaribi jaetaken back pretv days,1
58,What did I just hear from congress spokeperson... people should not buy khadi...it is costly... huh? What is this argument #MannKiBaat,2014-10-03,2014,['MannKiBaat'],what just hear from congress spokeperson people should khadiit costly what this argument,1
59,@aliaa08 Alia! Please share your thoughts about #MannKiBaat,2014-10-03,2014,['MannKiBaat'],alia please share your thoughts about,1
60,Himesh saw this coming. #MannKiBaat on #RadioOutreach = #MannKaRadio.,2014-10-03,2014,"['MannKiBaat', 'RadioOutreach', 'MannKaRadio']",himesh this coming,1
61,"#MannKiBaat Sir,I really respect your actions for better india. But, can anyone tell us what America has given us as a  result of your visit",2014-10-03,2014,['MannKiBaat'],siri really respect your actions better india anyone tell what america given result your visit,1
62,"Old things do recycle and come back,like old memories and the Radio #PM #MannKiBaat #PARIFoundation #NarendraModi #India4India",2014-10-03,2014,"['PM', 'MannKiBaat', 'PARIFoundation', 'NarendraModi', 'India4India']",things recycle come backlike memories radio,1
63,"AamAdmi Ke #MannKiBaat --- Modi Ji, Itnee Shandaar Designer ""Khadi"" Kahan Se Late Ho.......Humko Ko Bhi To Pata Chale ??",2014-10-03,2014,['MannKiBaat'],aamadmi modi itnee shandaar designer khadi kahan late hohumko pata chale,1
64,We need to recognise our internal strength: #Modi http://t.co/z037NwTkyB #MannKiBaat http://t.co/EhXbPjjWWT,2014-10-03,2014,"['Modi', 'MannKiBaat']",need recognise internal strength,1
65,We need to recognise our internal strength: #Modi http://t.co/DV9er1xXw2 #MannKiBaat http://t.co/Lv975FS49p,2014-10-03,2014,"['Modi', 'MannKiBaat']",need recognise internal strength,1
66,Modi to become radioactive on Sunday. #MannKiBaat,2014-10-03,2014,['MannKiBaat'],modi become radioactive sunday,-1
67,@Atheist_Club @narendramodi why find controversy where there is none..we can be +ve for once #mannkibaat,2014-10-03,2014,['mannkibaat'],find controversy where there nonewe once,-1
68,"How amusing when all the 'high-tech' news channel tuning to a radio.

#MannKiBaat",2014-10-03,2014,['MannKiBaat'],amusing when hightech news channel tuning radio,1
69,@narendramodi #MannKiBaat a revolutionary step to connect with the populace across cross section of society. Please make it :),2014-10-03,2014,['MannKiBaat'],revolutionary step connect with populace across cross section society please make,1
70,Can #modi become India's Roosevelt? #MannKiBaat,2014-10-03,2014,"['modi', 'MannKiBaat']",become indias roosevelt,1
71,"debut speech of Mr. PM @narendramodi sir on air.....goose bumping.
#NaMo 
#JayHind 
#MannKiBaat",2014-10-03,2014,"['NaMo', 'JayHind', 'MannKiBaat']",debut speech airgoose bumping,1
72,With #MannKiBaat Modi is changing the rules of the outreach game. Radio kills the TV stars!!!,2014-10-03,2014,['MannKiBaat'],with modi changing rules outreach game radio kills stars,1
73,"#swachhindia,
#MyCleanIndia and #Mannkibaat on radio,this is the way we connect common people,tight slap on #Aaptards who beleive in dharna",2014-10-03,2014,"['swachhindia', 'MyCleanIndia', 'Mannkibaat', 'Aaptards']",radiothis connect common peopletight slap beleive dharna,1
74,We took out an old (but still working) 2-in-1 n listened to #PM on #MannKiBaat. #AIR,2014-10-03,2014,"['PM', 'MannKiBaat', 'AIR']",took still working listened,-1
75,"#MannKiBaat @PMOIndia @narendramodi  - Great initiative by you Sir, we all will try to contribute for our growth with togetherness",2014-10-03,2014,['MannKiBaat'],great initiative will contribute growth with togetherness,1
76,After @narendramodi  #MannKiBaat Sonia  Gandhi's  Man ki Pyaas  Jal Bin Machhli Nritya Bin Bijli - (…: http://t.co/LNXhzTGPdI,2014-10-03,2014,['MannKiBaat'],after sonia gandhis pyaas machhli nritya bijli,1
77,The last PM who spoke on #AIR was #IndiraGandhi. #MannKiBaat of @narendramodi made me to edify myself with some common unchecked facts.,2014-10-03,2014,"['AIR', 'IndiraGandhi', 'MannKiBaat']",last spoke made edify myself with some common unchecked facts,1
78,What a beautiful inspiring story told by MY PM #MannkiBaat #PMONAIR @airnewsalerts,2014-10-03,2014,"['MannkiBaat', 'PMONAIR']",what beautiful inspiring story told,1
79,"Thank you MR.PrimeMinister आज आकाशवाणी फिर से जीवित हो गयी.
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],thank mrprimeminister,1
80,"#mannkibaat 
5. Khade ho aur chalne ka sankalp karo, duniya tabhi saath degi.
6. Desh ki takat 
    A. Kisano mein
    B. Garib ki jhopdi me",2014-10-03,2014,['mannkibaat'],khade chalne sankalp karo duniya tabhi saath degi desh takat kisano mein garib jhopdi,1
81,Respect @narendramodi very nice initiative of reaching out on radio. a lot said that was never said bt shd have been said by PM #mannkibaat,2014-10-03,2014,['mannkibaat'],respect very nice initiative reaching radio said that never said have been said,1
82,This guy is too active... twitter fb news channel and now radio... #mannkibaat #SwachhBharat #pmindia... all the best #respect,2014-10-03,2014,"['mannkibaat', 'SwachhBharat', 'pmindia', 'respect']",this active twitter news channel radio best,1
83,"#mannkibaat
3. Recites story of sher ka bacha
4. Samarthya pehchano, aatma samaan pehchano",2014-10-03,2014,['mannkibaat'],recites story sher bacha samarthya pehchano aatma samaan pehchano,1
84,"PM's #vijayadashami Speech was short, to the point &amp; guess came from the heart! #HappyDussehra @narendramodi #MannKiBaat",2014-10-03,2014,"['vijayadashami', 'HappyDussehra', 'MannKiBaat']",speech short point guess came from heart,-1
85,Truly remarkable Speech. I guess today AIR broke all records of TRP :p #mannkibaat #NaMo,2014-10-03,2014,"['mannkibaat', 'NaMo']",truly remarkable speech guess today broke records,-1
86,Thank you @narendramodi for choosing Radio! Great start #MannKiBaat #AllIndiaRadio #AIR,2014-10-03,2014,"['MannKiBaat', 'AllIndiaRadio', 'AIR']",thank choosing radio great start,1
87,"With @narendramodi ji earmarking the Sunday 11AM slot for #MannKiBaat series, it will clash with @aamir_khan 's #SatyamevJayate ! #MumkinHai",2014-10-03,2014,"['MannKiBaat', 'SatyamevJayate', 'MumkinHai']",with earmarking sunday slot series will clash with,-1
88,"#mannkibaat
1. PM will engage on 1 or 2 sundays at 11am in month.. 
2. We all should buy atleast 1 khaadi cloth, will help weavers",2014-10-03,2014,['mannkibaat'],will engage sundays month should atleast khaadi cloth will help weavers,1
89,A good initiative ! #MannKiBaat by @narendramodi,2014-10-03,2014,['MannKiBaat'],good initiative,1
90,Listening #PM#mannKiBaat#radio,2014-10-03,2014,"['PM', 'mannKiBaat', 'radio']",listening,1
91,"@narendramodi @PMOIndia  No No sir , not on a sunday at 11 , we'll miss @satyamevjayate :P :P :P #AllIndiaRadio #MannkiBaat  #AIR",2014-10-03,2014,"['AllIndiaRadio', 'MannkiBaat', 'AIR']",sunday well miss,-1
92,Don't remember in my life time any PM connected in the manner PM @narendramodi is doing right now. #mannkibaat @drumamehta @PathanAsmakhan,2014-10-03,2014,['mannkibaat'],dont remember life time connected manner doing right,1
93,Narendra modi's live #radio show. Super cool. Leveraging benefit of every medium. #MannKiBaat #VividhBharti,2014-10-03,2014,"['radio', 'MannKiBaat', 'VividhBharti']",narendra modis live show super cool leveraging benefit every medium,1
94,Ganesh Venkaradari from Mumbai famous ho gaye #Radio #MannKiBaat,2014-10-03,2014,"['Radio', 'MannKiBaat']",ganesh venkaradari from mumbai famous gaye,1
95,My Prime Minister on Radio.. #MannKiBaat,2014-10-03,2014,['MannKiBaat'],prime minister radio,1
96,Now Listening @airnewsalerts #MannKiBaat at 106.4FM,2014-10-03,2014,['MannKiBaat'],listening,1
97,All set to listen our beloved &amp; respected PM @narendramodi  Great start to #Vijayadashmi #Mannkibaat @vgopss @vallabh86,2014-10-03,2014,"['Vijayadashmi', 'Mannkibaat']",listen beloved respected great start,1
98,PM #NarendraModi to share his #MannKibaat on All India Radio at 11 am today http://t.co/CcSk2GiwEq,2014-10-03,2014,"['NarendraModi', 'MannKibaat']",share india radio today,1
99,Modivaani on aakashvaani... PM @narendramodi ki #MannKiBaat Aakashvaani ke saath on #AllIndiaRadio at 11am,2014-10-03,2014,"['MannKiBaat', 'AllIndiaRadio']",modivaani aakashvaani aakashvaani saath,1
100,"#NarendraModi debuts on #AIR: On #Dussehra, #MannKiBaat http://t.co/2blMtnJtv8  #BoycottHaider #MyCleanIndia #HappyDussehra",2014-10-03,2014,"['NarendraModi', 'AIR', 'Dussehra', 'MannKiBaat', 'BoycottHaider', 'MyCleanIndia', 'HappyDussehra']",debuts,1
101,At least today people won't get to see saffronisation but to hear it. #MannkiBaat,2014-10-03,2014,['MannkiBaat'],least today people wont saffronisation hear,-1
102,Would #MannkiBaat help to revive reach of radio or would it mere be a political speech.,2014-10-03,2014,['MannkiBaat'],would help revive reach radio would mere political speech,-1
103,"Sorry, don't have a radio here to hear you Mr PM. #MannkiBaat",2014-10-03,2014,['MannkiBaat'],sorry dont have radio here hear,-1
104,"The 1.25 billion population will get to hear Modi from AIR, why not the oath ceremony? #MannkiBaat",2014-10-03,2014,['MannkiBaat'],billion population will hear modi from oath ceremony,1
105,Live Streaming #NarendraModi’s Speech- #MannKiBaat on #AllIndiaRadio http://t.co/vfSxR4x7P7  #BoycottHaider #HappyDussehra #MyCleanIndia,2014-10-03,2014,"['NarendraModi', 'MannKiBaat', 'AllIndiaRadio', 'BoycottHaider', 'HappyDussehra', 'MyCleanIndia']",live streaming speech,-1
106,"#MannKiBaat
Listen to #NaMo
TODAY
11 AM
@airnewsalerts 
Please share http://t.co/iSwKo18tpD",2014-10-03,2014,"['MannKiBaat', 'NaMo']",please share,1
107,Listen to #Mannkibaat at 11am on #94.3MYFM all 17 stations. @943MYFM @narendramodi,2014-10-03,2014,"['Mannkibaat', '94']",listen myfm stations,-1
108,#mannkibaat humare prime minister Narendra Modi ko suniye aaj 11 baje se @94.3 My Fm par.. stay tuned,2014-10-03,2014,['mannkibaat'],humare prime minister narendra modi suniye baje stay tuned,1
109,#MannKiBaat listened part-2 today. A little late though. But PM's promise to get #BlackMoney back is very reassuring. #NaMo @narendramodi,2014-11-10,2014,"['MannKiBaat', 'BlackMoney', 'NaMo']",listened part today little late though promise back very reassuring,-1
110,"Indians take to letter writing as #Modi's radio addresses, #MannKiBaat, touches popular chord.Up to 5k letters a day. http://t.co/PnknBByTYJ",2014-11-10,2014,"['Modi', 'MannKiBaat']",indians take letter writing radio addresses touches popular chordup letters,1
111,"@narendramodi @NeilSomaiya @PMOIndia #MannKiBaat Mumbai has seen 2,600 rail deaths in just 9 months http://t.co/30tiRPICkF",2014-11-09,2014,['MannKiBaat'],mumbai seen rail deaths just months,-1
112,@narendramodi #MannKiBaat initiative is really good. The residential welfare associations should also be empowered to a certain extent.,2014-11-09,2014,['MannKiBaat'],initiative really good residential welfare associations should also empowered certain extent,1
113,.@AmirKingKhan करोड़ो रुपये लेकर ज्ञान बांट रहे हैं #MumKinHai | @narendramodi ji free में देते हैं #MannKiBaat,2014-11-09,2014,"['MumKinHai', 'MannKiBaat']",free,1
114,@narendramodi @PMOIndia #mannkibaat me DAHEJ PRATHA ke baare me charcha Ho bahut jaruri hai,2014-11-09,2014,['mannkibaat'],dahej pratha baare charcha bahut jaruri,1
115,#MannkiBaat there should be mutual respect among both man and woman,2014-11-09,2014,['MannkiBaat'],there should mutual respect among both woman,1
116,"#MannkiBaat stop objectification of women in Indian cinema, it will bring an implicit change in basic thinking since cinema has huge impact",2014-11-09,2014,['MannkiBaat'],stop objectification women indian cinema will bring implicit change basic thinking since cinema huge impact,1
117,"@narendramodi: Sir, please also add Cigarette smoking &amp; Alcohol drinking in discussion of your next On-Air show #MannKiBaat.",2014-11-09,2014,['MannKiBaat'],please also cigarette smoking alcohol drinking discussion your next onair show,1
118,"""#MannKiBaat Tann ka mail saaf ho sakta hai par mann ka nahi #SayNoToDrugs watch #ManaliTrance  http://t.co/bDJgskI6Fj "" @adeeb_semite",2014-11-08,2014,"['MannKiBaat', 'SayNoToDrugs', 'ManaliTrance']",tann mail saaf sakta mann nahi watch,-1
119,"@KirtiAzadMP Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! :)",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti,1
120,"Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! @mishrashiv @India_Policy @DrGPradhan",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti,1
121,"Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! @RDATT26 @anilkohli54 @anilkapurk",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti,1
122,"Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! @thekiranbedi @ashokepandit @ThinkersPad",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti,1
123,"'#MannKiBaat , work is worship, if u r truthful and honest then u are incorruptible, I have followed my late father's footsteps @PMOIndia",2014-11-08,2014,['MannKiBaat'],work worship truthful honest then incorruptible have followed late fathers footsteps,-1
124,@shikha_shrivas so did I!Saw another poster now where Kejri promised to take ppl's opinions to PM via #MannKiBaat! He's smoking something!,2014-11-08,2014,['MannKiBaat'],isaw another poster where kejri promised take ppls opinions smoking something,1
125,"I am not crazy.
I am special

...NO, wait...
Maybe I am crazy.

One second...
I have to talk to myself about this. Hold on...

#MannKiBaat",2014-11-07,2014,['MannKiBaat'],crazyi specialno waitmaybe crazyone secondi have talk myself about this hold,1
126,"On PM Narendra Modi after 6 months to get marks on his government, then sincerely he should get 7 out of 10 #Mannkibaat",2014-11-07,2014,['Mannkibaat'],narendra modi after months marks government then sincerely should,1
127,"That feeling when you don't even know what the fuck you're feeling.

#MannKiBaat",2014-11-07,2014,['MannKiBaat'],that feeling when dont even know what fuck youre feeling,-1
128,PM Narendra Modi is the biggest Marketing King but he also promises on development and progress #Mannkibaat,2014-11-07,2014,['Mannkibaat'],narendra modi biggest marketing king also promises development progress,1
129,"Bhoot?

I NO LIKE BHOOT.

#Mannkibaat",2014-11-07,2014,['Mannkibaat'],bhooti like bhoot,1
130,Falling in love is much more fun than being in love #MannKiBaat,2014-11-07,2014,['MannKiBaat'],falling love much more than being love,1
131,"The first #mannkibaat  programme was broadcast on the occassion of Vijayadashami on 03 October, 2014",2014-11-07,2014,['mannkibaat'],first programme broadcast occassion vijayadashami october,1
132,"#MannKiBaat ksohish bahut ki karne ki , sacchai share karne ki par har jagah Politics hai 
n twitter is no exception",2014-11-07,2014,['MannKiBaat'],ksohish bahut karne sacchai share karne jagah politics twitter exception,1
